"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"	"tile"	"scanID"
-67,88260176	2,883058824	-12,61	82	25,38513725	25,39	18,64	14,2	29	4,5	"tile_5_14"	1
-51,67437528	-75,06129397	-55,17	83	7,572118033	8,65	5,05	6,4	11,7	3	"tile_6_11"	1
-68,03305182	-53,31694364	-47,335	84	4,420386364	6,28	0	0	0	0	"tile_5_12"	1
-62,83314514	-48,29632143	-43,362	85	21,80782857	23,98	0	0	0	0	"tile_5_12"	1
-77,90066459	-52,30983213	-48,571	86	5,867029508	11,22	5,72	2	3,6	1,7	"tile_4_12"	1
-81,4868877	3,333462777	-17,195	87	27,91652021	27,91	20,41	24,5	48,7	5,9	"tile_4_14"	1
-68,87289392	-54,17623318	-47,827	88	6,408274165	3,08	0	0	0	0	"tile_5_12"	1
-70,83730059	-54,09690356	-47,681	89	7,105512979	12,67	5,97	2,3	4,2	1,8	"tile_5_12"	1
-73,57955491	6,869931596	-12,634	90	28,21706793	27,97	16,82	13,8	19,7	4,5	"tile_5_15"	1
-49,72604917	-74,6089275	-54,147	91	11,07116667	5,07	0	0	0	0	"tile_6_11"	1
-68,407488	-47,61276686	-44,279	92	4,146685714	5,5	0	0	0	0	"tile_5_12"	1
-68,47907404	-46,44162596	-42,84	93	5,28522807	5,91	0	0	0	0	"tile_5_12"	1
-96,96106933	9,200093905	-19,451	94	31,6336	28,84	15,29	17,7	36,7	5,1	"tile_3_15"	1
-109,6825695	17,39963728	-19,954	95	26,65319417	25,24	18,29	17,4	38,1	5	"tile_3_15"	1
-101,3272876	-28,45113961	-43,037	96	8,378	7,85	0	0	0	0	"tile_3_13"	1
-90,18821208	15,0100195	-14,982	97	26,13766667	33,18	23,53	26,1	51,6	6,1	"tile_4_15"	1
-119,1831939	-17,86177292	-43,654	98	16,93619876	13,07	0	0	0	0	"tile_2_13"	1
-90,8979642	2,06719042	-22,549	99	10,03781513	8,97	0	0	0	0	"tile_4_14"	1
-127,8960656	-10,26607724	-45,079	100	25,55239257	22,23	0	0	0	0	"tile_2_14"	1
-137,305266	0,677774	-41,869	101	41,2252	27,91	18,16	21,4	51,2	5,6	"tile_1_14"	1
-76,16146155	2,836967081	-15,509	102	22,48491925	26,32	18,07	12,9	27,3	4,2	"tile_4_14"	1
-146,6130248	15,34908937	-35,338	103	16,81650262	21,04	11,99	8,5	15,2	3,6	"tile_1_15"	1
-130,496924	-7,920972	-44,606	104	29,94493333	24,8	14,45	16	44	4,7	"tile_2_14"	1
-143,8623498	9,957038448	-37,703	105	4,547471515	4,16	0	0	0	0	"tile_1_15"	1
-146,2802158	7,920227815	-39,195	106	7,214705882	11,31	6,01	3,1	5,1	2,2	"tile_1_15"	1
-148,8850057	10,86895959	-38,251	107	16,77065177	17,39	0	0	0	0	"tile_1_15"	1
-142,3416416	-0,700062182	-45,055	108	20,0956	17,14	0	0	0	0	"tile_1_14"	1
-145,8870127	0,432197574	-45,564	109	18,58419672	21,77	18,82	15,1	35,6	4,8	"tile_1_14"	1
-135,2139027	0,241438703	-41,583	110	29,77165405	30,15	25,45	14,6	39	4,6	"tile_2_14"	1
-141,6824691	-6,59297427	-49,646	111	17,84876404	16,46	13,06	37,6	73,3	7,4	"tile_1_14"	1
-146,1049435	0,261026551	-46,164	112	16,91293913	2,91	0	0	0	0	"tile_1_14"	1
-138,4444133	23,60717467	-28,564	113	14,6256	11,5	0	0	0	0	"tile_1_15"	1
-146,4010409	3,185419139	-43,5	114	17,51603828	20,6	0	0	0	0	"tile_1_14"	1
-88,86863216	18,10571054	-13,445	115	36,67967568	24,86	23,81	28	56,4	6,3	"tile_4_15"	1
-146,4754909	7,613137684	-39,551	116	11,68433684	12,3	3,95	3,6	4,8	2,3	"tile_1_15"	1
-147,4517864	14,67838795	-35,73	117	12,04443373	12,6	4	10	9,2	4	"tile_1_15"	1
-143,8525126	9,301896729	-37,801	118	10,93988785	15,67	11,72	7,4	24,1	3,3	"tile_1_15"	1
-120,598866	11,233406	-27,803	119	32,6704	21,51	14,96	19,4	28,3	5,5	"tile_2_15"	1
-143,3894753	3,83196677	-41,435	120	28,08192547	21,64	0	0	0	0	"tile_1_14"	1
-141,4827443	21,30886	-30,431	121	24,90695652	16,78	8,43	13,6	14,3	4,5	"tile_1_15"	1
-141,4045086	21,69145332	-30,381	122	4,307734748	3,56	2,11	1,3	1,5	1,4	"tile_1_15"	1
-138,8398436	21,2022172	-29,951	123	6,921227656	7,64	5,04	4,3	6,5	2,4	"tile_1_15"	1
-81,75708131	8,037478754	-14,91	124	38,95891148	28,55	0	0	0	0	"tile_4_15"	1
-134,7479799	26,16107442	-25,955	125	6,601424893	21,38	19,93	18,8	39,1	5,2	"tile_2_16"	1
-139,5458473	-0,004411429	-43,904	126	9,081167702	7,99	0	0	0	0	"tile_1_14"	1
-74,06425471	13,07845883	-10,327	127	31,6353463	26,88	0	0	0	0	"tile_5_15"	1
-103,03769	15,98002584	-18,607	128	24,38460314	25,73	10,13	18,1	31,3	5,1	"tile_3_15"	1
-135,2296774	25,57342893	-26,9	129	9,002326026	4,98	0	0	0	0	"tile_2_16"	1
-141,9376696	27,39737764	-28,918	130	9,404800573	11,83	10,68	6,8	10	3,3	"tile_1_16"	1
-79,17748	6,1479364	-14,824	131	34,17432	24,38	15,53	18,4	32,6	5,3	"tile_4_15"	1
