"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
-7,013041031	99,48536037	-59,581	143	62,62183557	35,62	17,12	73,6	137,8	10,3
7,558173333	119,4145	-66,885	144	39,57813333	25,62	18,57	32,7	63,8	6,8
-9,316790811	106,6407206	-65,236	145	23,34903784	28,4	13,6	16,7	30,5	5
13,03243137	-21,75779411	6,68	146	9,948252632	6,73	0	0	0	0
-10,57044051	126,8679454	-77,152	147	49,25752542	35,03	29,88	27,8	47,2	6,5
7,591201189	109,5369509	-58,723	148	7,337751351	2,77	0	0	0	0
-33,41519219	110,2547015	-72,381	149	49,32891429	34,65	0	0	0	0
-5,883315789	98,33835579	-57,774	150	34,22673684	31,78	21,83	28,2	62,2	6,6
-31,05259335	104,6993637	-70,006	151	47,13306943	38,15	0	0	0	0
-38,6765687	97,60567565	-65,395	152	25,83513043	26,86	14,61	17,3	43,7	4,9
-3,428835238	93,7002	-53,502	153	43,33188571	30,32	0	0	0	0
-19,78574851	127,6360481	-80,808	154	29,92654054	27,88	0	0	0	0
4,708086667	127,966732	-72,495	155	12,0176	1,62	0	0	0	0
-17,27104514	122,5399796	-77,919	156	27,08171429	25,45	20,5	17,4	38,6	5
-21,01267307	125,0750803	-79,123	157	48,31664804	31,89	29,54	25,6	69,6	5,9
-1,171069129	128,4537793	-74,919	158	36,50728471	30,7	22,2	14,5	40,7	4,7
-17,9089861	118,7230411	-75,788	159	38,08369524	27,01	16,86	27,7	77,4	6,3
-26,4252543	121,042114	-77,63	160	4,876990619	6,74	4,04	11,3	10,2	5,8
-2,074708571	135,3629529	-79,115	161	38,12314286	27,48	20,93	19,7	52,5	5,4
-35,86348262	103,9891685	-69,988	162	29,92536307	28,32	21,12	23,4	80,2	5,8
-9,506584667	127,3303587	-77,566	163	38,04446667	29,13	24,03	15,2	42,6	4,6
-3,137790465	137,8419543	-81,853	164	22,24855777	23,86	17,56	20	46	5,2
-29,62011305	118,2129548	-75,958	165	38,08707296	28,43	26,43	32,6	76,7	6,8
-31,62244894	119,4623426	-76,555	166	6,778186335	5,62	0	0	0	0
-104,416252	74,55974629	-64,129	167	40,9151619	33,58	0	0	0	0
5,70738069	110,7664848	-60,875	168	8,181517241	5,57	0	0	0	0
