"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
-203,8178982;-3,249693474;-100,191;182;29,04717895;27,39;17,99;21,8;51;5,6;0,479680600255218;0,870646761220548
-198,5445508;0,235313784;-101,467;183;25,36497297;14,02;4,87;5,2;4,7;3;0,437267292699578;0,309780228890177
-206,3742941;5,311002476;-102,504;184;31,8008381;25,8;15,3;10,2;19,3;3,9;0,463951904978964;0,950735435794162
-211,2306383;-13,41256472;-97,658;185;37,50236066;33,3;31,4;25,9;81;6;0,461174979423068;1,6963562536061
-205,1284703;-5,924358286;-98,911;186;34,16765714;22,16;0;0;0;0;0,442143631426077;0,898366217545824
-200,6667107;-27,54713067;-96,355;187;30,06053333;24,65;15,55;21,5;50,3;5,6;0,467735652725944;0,818277562634806
-221,3352443;-3,120601197;-98,833;188;28,82979551;25,14;0;0;0;0;0,474611890930229;0,77889137267577
-203,5412291;-0,113238704;-101,266;189;30,72395175;27,18;19,98;15,7;35,1;4,7;0,472087463335604;0,951296612201578
-215,1604559;-8,909250486;-98,182;190;27,24849049;25,45;15,95;18,8;45,2;5,2;0,482752864580081;0,716452535651635
-203,8793496;-32,27924077;-93,466;191;31,21380162;28,24;26,89;53,4;110,1;9;0,472741771543592;1,02157882834718
-196,7383576;0,881023902;-101,822;192;24,37613008;25,9;15,6;17,6;34,8;5,1;0,498128154564335;0,602088388927182
-218,8668654;-13,72680793;-96,197;193;25,33599987;25,74;14,59;13,9;32,1;4,8;0,492831319899672;0,639547521286478
-210,7027383;-30,42713688;-92,543;194;9,478495413;25,38;23,68;37,2;80,9;8;0,561118975502342;0,100488245408114
-155,1282546;-22,97377351;-90,116;195;7,36802623;6,48;0;0;0;0;0,57949119798219;0,0160108377877278
-188,866561;-6,541672626;-100,708;196;15,52682309;18,54;10,59;7,3;18,5;3,4;0,533125707149527;0,187151988231303
-207,0330899;4,016513035;-102,01;197;36,03412706;21,97;13,32;11,8;26,5;4,3;0,434370651500599;0,973214170068959
-200,722533;-32,62325849;-94,236;198;14,43557939;30,32;28,77;21,8;45;6;0,558893176343309;0,277342435238123
-183,7790956;-33,13287029;-95,051;199;12,96497143;32,14;0;0;0;0;0,564582909149174;0,239555755281073
-214,7351169;-24,6943522;-93,623;200;28,7231082;26,43;22,83;29,9;46,9;6,5;0,478656138098519;0,81973512646255
