"";"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
"96";-5,474202775;30,96753998;-11,692;96;31,90669154;25,43;16,18;18,5;40,5;5,1;0,462437343180999;0,940270230902738
"97";-42,50896459;77,03984813;-23,649;97;7,930889952;1,82;0;0;0;0;0,615628715395291;0,00553508106290377
"98";-9,414885149;64,43926614;-23,212;98;28,1830495;0,28;0;0;0;0;-5,94263391593069;-0,103801315340934
"99";32,50289935;40,96269919;-19,596;99;9,065886179;4,9;0;0;0;0;0,559552636159402;0,0176989471329431
"100";8,612417644;45,54743496;-18,911;100;30,1218411;25,9;17,85;31,6;62,3;7,4;0,471157440420346;0,869598387193164
"101";40,590788;61,19375067;-27,029;101;19,48053333;15,22;0;0;0;0;0,488278544821309;0,221500066369821
"102";13,98385647;52,17636059;-21,546;102;30,05211765;29,17;20,72;21,7;36,7;5,6;0,479591794461215;0,992311935803417
"103";39,66678832;41,43737304;-20,284;103;18,37050932;15,92;0;0;0;0;0,500936885015376;0,211377301897106
"104";-4,05936941;52,82702715;-20,785;104;31,15805734;27,67;17,27;27,7;50,1;6,1;0,471568446566319;0,994911665229437
"105";-7,708876571;50,50862486;-19,276;105;29,8156;27,22;16,87;21,3;47,7;5,6;0,475969282152096;0,904573861716782
"106";43,10863887;68,25741141;-29,416;106;19,55890141;21,13;19,83;15,5;21,2;5;0,512936177733957;0,325642908311727
"107";35,56235628;40,58076106;-19,722;107;10,52951574;3,31;0;0;0;0;0,522629024101194;0,0150635799189566
"108";-2,917442134;29,80438018;-11,737;108;28,45306098;26,89;16,19;24,3;47,6;5,9;0,481039435512131;0,822468652119604
"109";-4,36129234;25,70610596;-9,952;109;22,66221277;24,42;9,97;17,7;37,8;4,9;0,503566481987002;0,496017480026217
"110";-0,226757241;30,48595931;-12,111;110;38,26868966;27,93;21,48;28,3;61,4;6,3;0,446761591920211;1,43523769075139
"111";-6,247993846;38,96068846;-14,31;111;24,52169231;17,47;11,77;25,3;70,5;6;0,466298908968088;0,384722922507242
"112";-5,270000571;22,3479579;-8,823;112;34,5856;28,24;16,94;17,2;27,6;4,9;0,460009802029138;1,22042835202523
"113";-36,8565408;63,0793377;-17,409;113;31,42795402;27,63;24,78;25,3;62;6;0,470388117988423;1,00822933047589
"114";16,77171551;69,62356819;-29,403;114;15,36688563;9,84;4,44;4,7;4,8;2,9;0,48749467606565;0,0889665142232968
"115";-39,55602304;66,52042373;-19,356;115;34,57037267;26,4;0;0;0;0;0,455120060580664;1,12778914288787
"116";21,2466653;64,26230984;-27,264;116;32,39593327;26,88;0;0;0;0;0,464625808088688;1,02944575389194
"117";15,15791264;69,97959804;-28,94;117;15,91102065;17,98;0;0;0;0;0,528578707268532;0,188966714411585
"118";-21,36089068;54,29160746;-18,857;118;34,88522034;27,79;17,04;18;25,5;5,1;0,457791481864118;1,21598740444275
"119";-10,19624267;24,91894533;-9,13;119;30,87973333;27,95;15,05;21,9;36,1;5,7;0,473382183458666;0,990901953310794
"120";-23,16961264;66,34585607;-21,887;120;39,0521;32,28;24,48;41,1;92,8;7,5;0,45440528523928;1,75693448383817
"121";-10,58998546;33,303736;-12,255;121;27,94472471;22,61;15,41;24;55,4;5,7;0,470581274729206;0,652566472396753
"122";-14,950948;13,15580667;-3,61;122;33,9456;26,99;17,44;21,9;32;5,5;0,459059338280868;1,12131742493567
"123";-12,12859943;36,95840152;-13,564;123;43,19093333;28,83;20,48;34,1;90,1;6,9;0,434521785659273;1,83540223970204
"124";-52,16105317;65,19584764;-16,568;124;31,60852033;25,17;18,27;25,2;69,4;5,9;0,46285581663216;0,914170398975294
"125";-63,47596419;70,3348493;-18,269;125;41,01339535;31,87;26,52;24,1;63,3;5,8;0,447769850231468;1,88529033676132
"126";-31,90658925;43,17001423;-13,171;126;40,01579016;30,32;18,27;34,7;57,6;7,1;0,447287586370767;1,70556673718602
"127";-40,80208292;33,64274995;-8,062;127;36,86748108;26,65;17;44,1;66,9;7,9;0,447803301488908;1,27397620950055
"128";-54,81512534;49,20230758;-11,63;128;25,66357764;25,14;13,14;18,5;37,3;5;0,489601910312912;0,636696784911685
"129";-46,89719123;26,09531003;-4,654;129;37,96032748;29,27;24,12;46,1;89,4;8;0,451155060601909;1,49450832227695
"130";55,69315743;-39,78857657;12,482;130;51,58731429;33,04;28,44;55,9;70,6;9,9;0,423704536825519;2,92603065111028
"131";56,75905363;-36,21135351;11,221;131;36,48243378;31,2;12,2;18;18,2;5,4;0,460305815885272;1,50126909120109
"132";21,51694069;68,7985121;-30,288;132;12,54781116;16,35;0;0;0;0;0,548002714916204;0,110796565093209
"133";-25,76341114;23,56380771;-6,633;133;35,72811429;26,38;19,53;28,6;66,7;6,3;0,450933015778838;1,19260574360175
"134";16,65913845;27,9139049;-12,118;134;37,06452245;28,41;18,51;31;69;6,5;0,451925955412728;1,38530441318
"135";-3,035622734;75,15363483;-27,761;135;9,148190312;3,11;0;0;0;0;0,555797779621008;0,0113615467381817
"136";10,90728577;39,73611577;-16,909;136;28,43805634;26,39;14,99;27,6;72,7;6,3;0,479818910908537;0,804278487984836
"137";12,04992038;46,61964876;-19,656;137;33,76845714;25,89;14,39;30,5;44,8;6,5;0,456591418392814;1,05869805052956
"138";17,3183411;69,64938046;-29,661;138;8,13194006;13,63;0;0;0;0;0,564135264517503;0,0399353342276931
"139";1,176763048;49,95666229;-19,959;139;33,86586667;26,6;15,4;24,2;34,4;6,6;0,458274724716823;1,09804922980114
"140";-27,73392522;43,50330843;-14,048;140;29,87049254;27,16;17,41;25,9;39,6;6,3;0,475585426556607;0,905175837725503
"141";-11,67782987;31,03471753;-11,341;141;35,43109091;29,21;17,46;19,1;35,6;5,5;0,459408288345462;1,32308977489042
"142";-23,67782504;58,29687728;-19,869;142;41,30402405;30,8;22,8;27,7;51;6,5;0,444608241094163;1,83485958982761
"143";-6,522687879;54,30461273;-20,559;143;42,37;31,44;24,04;35,6;62,6;7,2;0,443015725965071;1,96385079839656
"144";-4,046747067;44,5735284;-17,617;144;37,53674667;27,41;16,51;20,3;43,6;5,7;0,4477221876139;1,35806573806985
"145";-61,84653676;51,3497461;-11,743;145;36,98312381;30,37;19,22;20,8;37;5,5;0,456867063954934;1,49049906019376
"146";-60,72720138;59,80743062;-14,483;146;43,25916066;31,86;18,31;29,1;48;6,4;0,441483971383867;2,06731554805168
"147";-33,10015;76,314644;-24,511;147;7,418;7,55;6,35;5,5;8,8;2,9;0,575129092145906;0,018766177826712
"148";-90,00975882;82,75266176;-19,112;148;4,865882353;9,39;6,19;6,2;8,1;3,2;0,57338753144271;0,0100121403100887
"149";-42,39424076;76,80875486;-23,606;149;8,151161905;1,38;0;0;0;0;0,617123646038794;0,00444406286963986
"150";-60,24167505;55,98657752;-13,616;150;25,02670476;26,84;11,74;19,6;34,7;5,3;0,497085203387292;0,656312338874213
"151";-40,14689273;62,025985;-16,61;151;23,84440625;24,11;15,76;24,6;38,3;6,2;0,49621630319492;0,534233534478969
"152";-61,24306335;79,69304025;-22,464;152;8,973763975;2,6;0;0;0;0;0,560250281673335;0,00921286268635434
"153";-15,70074311;15,02907224;-4,4;153;30,77332706;26,64;14,89;27;40;6,2;0,470466563745438;0,932184270276009
"154";-81,90130348;80,3098871;-19,955;154;6,033768116;7,2;5,05;9,7;10,6;3,7;0,58789853674557;0,0121032495705243
"155";61,12974643;-33,37604313;11,925;155;18,12657028;31,51;0;0;0;0;0,542084951748648;0,440795258620684
"156";-47,2107623;20,61996475;-2,727;156;23,45569345;33,04;30,14;32,2;54,2;6,7;0,516444560817664;0,737310098039695
"157";27,27596178;49,02255944;-22,003;157;45,14456997;28,46;0;0;0;0;0,428276179191064;1,951011087809
"158";-28,82277134;25,56104774;-6,526;158;39,65792787;28,75;18,4;32,3;71,9;7;0,444564625686337;1,5787838315334
"159";-12,74336122;75,03396382;-26,424;159;42,92286005;28,28;26,98;37;78;7,3;0,43380581624961;1,77517822332654
"160";-17,97982143;32,68143476;-11,295;160;31,58342857;25,1;15,3;16,5;33,8;5,2;0,462744344497531;0,909962027083404
"161";-79,83816286;56,45096152;-12,269;161;42,48350476;26,82;14,07;23,1;26,9;5,7;0,43089010041402;1,63815822359801
"162";15,5453287;-7,267488917;3,496;162;8,241233028;4,9;0;0;0;0;0,573207278277385;0,0149824227221085
"163";-13,76327565;4,625487826;-0,388;163;45,61913043;28,68;22,83;37,5;60,9;7,4;0,427629984834967;2,0046159590497
"164";0,677283936;6,54953751;-1,061;164;36,53423293;26,13;21,28;25,4;35,6;6,1;0,447403573526611;1,2255434873192
"165";-27,45699333;27,99508705;-7,937;165;48,34704762;30,59;25,94;22,8;43,5;5,8;0,42566505213896;2,39043682470539
"166";-4,863096;42,79029162;-16,789;166;26,51059048;25,55;17,75;20,2;44;5,6;0,486546233339997;0,686188922400589
"167";-64,22693424;43,20465332;-9,256;167;33,86220738;28,02;25,87;22,7;47,3;5,7;0,46207235548435;1,1659999429664
"168";-59,18811043;68,25123567;-17,633;168;26,97197377;25,47;18,07;16;40,9;4,8;0,484117246308082;0,704522452059859
"169";-35,20152543;52,89073829;-15,907;169;50,3452;28,07;0;0;0;0;0,414360099677263;2,31540178517447
"170";-33,82387631;58,32815315;-17,354;170;32,03547072;26,57;18,72;24,5;50,3;5,9;0,465193102041306;0,996269698882743
"171";-8,295571502;8,946473648;-1,817;171;42,05769957;30,09;20,34;30,1;32,4;6,4;0,440820411744934;1,8427431003319
"172";59,46125304;-39,1722662;13,927;172;12,51115362;28,75;9,5;23;28,7;5,8;0,563022532036918;0,198997774416364
"173";20,42525282;38,50439551;-17,342;173;35,08099751;29,4;17,65;20,9;39;5,5;0,461069264166085;1,31022913254293
"174";18,74596532;36,34812972;-15,894;174;33,46804404;25,61;0;0;0;0;0,456888258354322;1,02936671397867
"175";0,665264952;47,99709181;-19,091;175;31,85287619;28,65;17,15;23,1;36,4;5,8;0,47119854979654;1,07576091160904
"176";-20,58977054;56,40114287;-19,378;176;36,61718563;29,91;21,11;36,1;52,6;7,1;0,457030286617491;1,43953158671283
"177";-6,422940108;45,81462627;-17,925;177;36,77158919;24,29;0;0;0;0;0,440644967243504;1,13666113188059
"178";-44,02240552;48,48321467;-13,247;178;31,18300952;26,26;18,01;26,9;53,9;6,1;0,467753245516893;0,938074795312863
"179";-18,29863632;62,49572118;-21,73;179;40,20737695;29,78;21,38;35,1;66,8;7,2;0,445450378413547;1,68432304221864
"180";-73,88393467;62,79431867;-14,201;180;36,6256;28,02;17,27;18,2;28,7;5,3;0,452381184594314;1,33546355897872
"181";62,22145596;-35,18708421;13,081;181;17,58522807;28,64;10,99;11,8;11,2;4,1;0,541110333581957;0,376395769211785
